start	end	text
30000	32400	I can't believe it's the first time I've seen it
32400	35000	Jason Dreams, they never say
35000	38000	You know I don't wanna die
38000	41000	Tears and smiles become my dreams
41000	44000	I want to live here
45500	49000	Time moves by the heart, stay the same
51000	54000	I don't know I don't wanna die
56000	59000	I want voices that come across the world
61000	65000	The world will be cool
66000	69000	Running to the future, crossing every night
69000	71000	Mid-I-E-Hashine
71000	74000	Wishes on stars, connected forever by
74000	77000	Wishing I got you, let's go now
77000	82000	Until the best morning lights are equal
82000	85000	In the light of shine, painting dreams inside
85000	88000	In the light of light
88000	93000	Even most, we never give up
93000	95000	I can't give up
95000	98000	Together we'll find new futures
98000	100000	I can't believe it's the first time I've seen it
100000	103000	We make love, but we move ahead
103000	106000	My aim is to sue you
106000	109000	Fire burns everything in our hearts
109000	112000	Hold on, we're dead
113000	117000	Time moves by the heart, stay the same
119000	122000	I don't know I don't wanna die
124000	128000	I want voices that come across the world
129000	133000	The world will be cool
134000	137000	Running to the future, crossing every night
137000	139000	Mid-I-E-Hashine
139000	142000	Wishes on stars, connected forever by
142000	145000	Wishing I got you, let's go now
145000	150000	Until the best morning lights are equal
150000	153000	In the light of shine, painting dreams inside
153000	156000	In the light of light
169000	172000	Wishing I got you, let's go now
172000	175000	Until the best morning lights are equal
175000	178000	In the light of light
188000	193000	Beyond the sky, a future shining bright
194000	199000	Beyond the sky, our power changes the world tonight
199000	202000	The world will be cool
202000	205000	Even its warmth talks like remains
205000	208000	Keep on all heat, guide, spread your wings
208000	212000	And fly through the games
212000	215000	The heart will be cool
227000	230000	Running to the future, crossing every night
230000	232000	Mid-I-E-Hashine
232000	236000	Wishes on stars, connected forever by
236000	238000	Wishing I got you, let's go now
238000	243000	Until the best morning lights are equal
243000	245000	In the light of light
245000	247000	Wishing I got you, let's go now
247000	250000	Until the best morning lights are equal
250000	253000	In the light of light
253000	256000	Wishing I got you, let's go now
