start	end	text
0	6000	Music
6000	15000	Music
15000	18000	Here's a melody cut out
18000	21000	Power up our bones tonight
21000	23000	Fist clinched tight
23000	27000	I'm ready for the fight
27000	30000	Show us how we're gonna do
30000	32000	Let the passion burn
32000	35000	Catch the beat of the song
35000	38000	Catch the beat of the song
38000	42000	Catch the beat of the song
42000	45000	The game's all over now
45000	48000	I want to protect this is why I bow
48000	52000	Take me low
52000	54000	Burn it down
54000	57000	Burn it down
57000	60000	I want to protect this is why I bow
60000	63000	Take me low
63000	66000	Burn it down
66000	71000	I want to protect this is why I bow
84000	95000	I want to protect this is why I bow
95000	99000	Take me low
99000	102000	Burn it down
102000	106000	I want to protect this is why I bow
106000	109000	Take me low
109000	112000	Burn it down
112000	115000	I want to protect this is why I bow
115000	118000	Take me low
118000	121000	Burn it down
121000	124000	I want to protect this is why I bow
124000	127000	Take me low
127000	130000	Burn it down
130000	141000	I want to protect this is why I bow
141000	151000	Catch the beat of the song
151000	155000	Catch the beat of the song
155000	158000	The game's all over now
158000	161000	I want to protect this is why I bow
161000	165000	Take me low
165000	167000	Burn it down
167000	170000	I want to protect this is why I bow
170000	172000	Take me low
172000	176000	Burn it down
176000	183000	I want to protect this is why I bow
200000	208000	Take me low
208000	215000	The game's all over now
215000	219000	I want to protect this is why I bow
219000	222000	Take me low
222000	224000	Burn it down
224000	227000	I want to protect this is why I bow
227000	229000	Take me low
229000	233000	Burn it down
233000	237000	I want to protect this is why I bow
258000	267000	I want to protect this is why I bow
267000	271000	I want to protect this is why I bow
271000	275000	Take me low
275000	279000	Burn it down
279000	283000	I want to protect this is why I bow
283000	285000	Take me low
285000	289000	Burn it down
289000	293000	I want to protect this is why I bow
