start	end	text
30000	34000	This falls, stars fade away
34000	40000	Oh, she got hit her Tokyo shadows calling
40000	43000	Yami no michi ga haji maru
43000	46000	Chasing dreams through endless night
46000	49000	You may want one at night
49000	53000	But I'm tears become our pain
53000	56000	Time moves fire, my dreams are still
56000	60000	Cocoa wise shini maru, oh voices
60000	62000	And go across the void
62000	66000	Moody, every good
66000	69000	Drawing through the shadows
69000	72000	Escaping every light
72000	74000	Mirage has shittered
74000	78000	Promises broken, burning through the night
78000	81000	Oh shini negairo
81000	84000	Let's break out from the prison of night
84000	88000	Say you come, in the darkness we rise
88000	92000	Fading with love
92000	94000	Yami no nagada
94000	96000	You've been following me, never given
96000	98000	I can't even know you there
98000	100000	Together we face our darkest fear
100000	102000	Yami no me, now you're me too close
102000	106000	Sun's ray jump, all we forge is your head
106000	112000	Maybe this is a familiar
112000	118000	I ever was covered in a heart
118000	121000	Something I don't know what
121000	124000	Time moves fire, our hearts turn to stone
124000	128000	Cocoa wise shini maru, oh voices
128000	130000	And go across the void
130000	134000	Moody, every good
134000	137000	Drawing through the shadows
137000	140000	Escaping every light
140000	143000	Mirage has shittered
143000	147000	Promises broken, burning through the night
147000	149000	Oh shini negairo
149000	153000	Let's break out from the prison of night
153000	157000	Say you come, in the darkness we rise
157000	160000	Fading with love
161000	164000	Beyond the fire, never burning
164000	168000	Brought a noble cry, our power destroys the world tonight
168000	171000	I won't go back, even in darkness
171000	173000	My friends remain!
173000	175000	Spookishu no hikari
175000	179000	Break your wings and fly through the plain
179000	187000	Cocoa no masu, oh voices
199000	202000	Drawing through the shadows
202000	205000	Escaping every light
205000	208000	Mirage has shittered
208000	212000	Promises broken, burning through the night
212000	214000	Oh shini negairo
214000	218000	Let's break out from the prison of night
218000	222000	Say you come, in the darkness we rise
222000	224000	Fading with love
224000	227000	Beyond the shadows
227000	230000	Escaping every light
230000	233000	Mirage has shittered
233000	237000	Promises broken, burning through the night
237000	239000	Oh shini negairo
239000	243000	Let's break out from the prison of night
243000	247000	Say you come, in the darkness we rise
247000	250000	Fading with love
250000	259000	Beyond the shadows
259000	261000	In the darkness we rise
261000	264000	Fading with love
